productid,rate,cmt,username
,4,,New Delhi
,5,,Kalwakurthy
,1,,Nawada
,4,,Sainthia
,4,,Zirakpur
,3,,Pune
,5,,Baleshwar District
,4,,Kandi
,3,,New Town
,1,,Lakhisarai
,5,,Vadanappally
,4,,Kushinagar District
,4,,West Delhi
,4,,Prayagraj
,4,,Thiruvananthapuram District
,5,,New Delhi
,5,,Palakkad
,5,,Hugli Chinsurah
,5,,Vijapura
,4,,Kanpur
,4,,Bangaon
,4,,Sindkhed Raja
,5,,Durgapur
,1,,Mumbai
,5,,Rohtak
,2,,Bagalkot District
,5,,Bengaluru
,4,,Gaya
,5,,Pune
,5,,Mairwa
,5,,Gonda
,5,,Baghpat District
,5,,Prayagraj
,4,,Daman
,5,,Godda District
,5,,Greater Noida
,5,,Mumbai
,5,,Bangalore
,5,,Kolkata
,5,,Muzaffarpur District
,5,,Burdwan
,5,,Nalbari
,5,,Hosur
,4,,Kasargod
,4,,Bhojpur District
,5,,Bhubaneswar
,4,,Jatani
,5,,Bhagalpur
,4,,Sisauli
,5,,Ramachandrapuram
,5,,Haridwar
,5,,Chennai
,4,,Patna
,5,,Sant Ravidas Nagar Bhadohi District
,5,,Bangalore
,5,,Mandya
,5,,Thane
,5,,New Delhi
,4,,Srikakulam
,3,,Mahrajganj Mahrajganj District
,5,,Chitrakoot District
,4,,Dhania
,3,,South West Delhi
,3,,Faridabad
,5,,Nabagram Colony
,5,,Chittoor
,4,,Jhargam District
,4,,Kolkata
,3,,Kathua
,3,,Siddipet District
,4,,Pimpri Chinchwad
,5,,Pallipalayam
,5,,Kollam
,5,,Khammam District
,5,,Hyderabad
,5,,Tiruppur
,4,,Solapur
,5,,Mayurbhanj District
,5,,Mumbai
,3,,Bengaluru
,5,,Mumbai Suburban
,5,,New Delhi
,5,,Sitapur
,5,,Guntur District
,5,,Kanpur
,3,,Mumbai
,5,,Jaipur
,5,,Raichur District
,5,,Rajkot
,4,,Lucknow
,5,,Sheikhpura District
,5,,Pimpri Chinchwad
,5,,Lunglei District
,3,,Indore
,4,,Kolkata
,5,,Masat Hugli District
,5,,Thiruvananthapuram District
,5,,Kota District
,5,,Ballia
,5,,Narkatiaganj
,5,,Supaul
,5,,Navi Mumbai
,4,,Satna District
,5,,Pappinisseri
,5,,Palakkad
,5,,Purnia District
,1,,Bijnore
,4,,Krishna District
,4,,Lucknow
,5,,Rewa
,5,,Jhargam District
,5,,Khurja
,5,,Ghaziabad
,5,,Jodhpur
,5,,Barasat
,5,,Mumbai
,5,,Raipur
,5,,Aligarh
,5,,Basti
,5,,Koduvayur
,4,,Patna
,5,,Thane District
,4,,Patna
,3,,Indore
,4,,Kolkata
,5,,Masat Hugli District
,5,,Thiruvananthapuram District
,5,,Kota District
,5,,Ballia
,5,,Narkatiaganj
,5,,Supaul
,5,,Navi Mumbai
,4,,Satna District
,5,,Sanand Gidc
,5,,Khagaria
,5,,Rewari
,5,,Ratnagiri District
,5,,Hyderabad
,5,,Perumbavoor
,5,,Siliguri
,3,,Ahmedabad
,5,,Shahdol
,5,,New Delhi
,4,,Uran Islampur
,5,,Agra
,5,,Kolkata
,5,,Belagavi
,5,,Rourkela
,4,,Nagpur
,5,,Cuttack
,5,,Prayagraj
,5,,Thagarapuvalasa
,5,,Surat
